SISRecID,count,name_com,name_sci,status
103827182,0,Black-breasted Warbling-finch,Microspingus pectoralis,LC
22727521,0,Sunda Collared-dove,Streptopelia bitorquata,LC
155246763,0,Scaled Chachalaca,Ortalis squamata,LC
22700315,0,Yellow-browed Tyrant,Satrapa icterophrys,LC
22710661,0,Black-bellied Starling,Notopholia corusca,LC
22693724,0,Andean Avocet,Recurvirostra andina,LC
22726736,0,Vilcabamba Inca,Coeligena eisenmanni,LC
22701629,0,Striated Antbird,Drymophila devillei,LC
22720696,0,Spot-winged Grosbeak,Mycerobas melanozanthos,LC
22694432,0,Bonaparte's Gull,Larus philadelphia,LC
22699626,0,Cinnamon-crested Spadebill,Platyrinchus saturatus,LC
22718485,0,Plain-backed Pipit,Anthus leucophrys,LC
22725708,0,Large-tailed Nightjar,Caprimulgus macrurus,LC
22698760,0,Whitehead's Broadbill,Calyptomena whiteheadi,LC
22699369,0,Agile Tit-tyrant,Uromyias agilis,LC
22715103,0,Lemon-bellied Crombec,Sylvietta denti,LC
45449331,0,Malaita Boobook,Ninox malaitae,VU
103798676,0,Socorro Parula,Setophaga graysoni,NT
22691317,0,Flame-breasted Fruit-dove,Ramphiculus marchei,VU
103880076,0,Indian Nuthatch,Sitta castanea,LC
22681606,0,Green-eared Barbet,Psilopogon faiostrictus,LC
22682221,0,Paradise Jacamar,Galbula dea,LC
22726358,0,Fine-banded Woodpecker,Campethera taeniolaema,LC
22703709,0,Orange-crowned Fairy-wren,Clytomyias insignis,LC
22697226,0,White-backed Night-heron,Calherodius leuconotus,LC
22710783,0,Sharpe's Starling,Pholia sharpii,LC
22710654,0,Purple-headed Starling,Hylopsar purpureiceps,LC
22686168,0,Red-faced Parrot,Hapalopsittaca pyrrhops,LC
22682961,0,Rufous-headed Ground-roller,Atelornis crossleyi,NT
22705315,0,Olivaceous Greenlet,Hylophilus olivaceus,NT
22727515,0,South Island Snipe,Coenocorypha iredalei,EX
22707034,0,Dusky Crested-flycatcher,Elminia nigromitrata,LC
22684871,0,Red-breasted Pygmy-parrot,Micropsitta bruijnii,LC
22703888,0,Black-headed Myzomela,Myzomela melanocephala,LC
22686251,0,Red-spectacled Amazon,Amazona pretrei,VU
22702054,0,Striated Earthcreeper,Geocerthia serrana,LC
22701820,0,Yapacana Antbird,Aprositornis disjuncta,LC
22711852,0,Dusky Tit,Melaniparus funereus,LC
103727626,0,Black-collared Jay,Cyanolyca armillata,LC
22718230,0,Northern Grey-headed Sparrow,Passer griseus,LC
22719238,0,Montane Widowbird,Euplectes psammacromius,LC
22697987,0,Collared Petrel,Pterodroma brevipes,VU
22681699,0,Bristle-nosed Barbet,Gymnobucco peli,LC
22729172,0,Sand-colored Nighthawk,Chordeiles rupestris,LC
103888269,0,Plain-tailed Wren,Pheugopedius euophrys,LC
103661269,0,Little Long-tailed Woodcreeper,Deconychura typica,LC
