genus,lc_count,vu_count
neophema,5,1
neophron,0,1
neopipo,1,0
neopsephotus,1,0
neopsittacus,2,0
neothraupis,0,1
neotis,1,3
neoxolmis,1,0
nephelomyias,2,1
nephelornis,1,0
nesasio,0,1
nesillas,4,1
nesocharis,3,0
nesoctites,1,0
nesoenas,4,1
nesofregetta,0,1
nesophlox,2,0
nesopsar,0,1
nesoptilotis,2,0
nesospingus,1,0
nesospiza,0,3
nesotriccus,0,1
nestor,0,2
netta,3,0
nettapus,3,0
newtonia,3,1
nicator,3,0
nicopsitta,2,0
nigrita,4,0
nilaus,1,0
niltava,7,0
ninox,20,16
nipponia,0,1
nisaetus,3,6
nok,1,0
nomonyx,1,0
nonnula,6,0
northiella,1,0
notharchus,7,0
nothocercus,3,0
nothocrax,1,0
nothoprocta,5,1
nothura,3,1
notiomystis,0,1
notopholia,1,0
nucifraga,4,0
numenius,3,5
numida,1,0
nyctanassa,2,0
nyctibius,6,0
nycticorax,5,0
nycticryphes,1,0
nyctidromus,2,0
nyctiphrynus,3,1
nyctipolus,2,0
nyctiprogne,2,0
nyctyornis,2,0
nymphicus,1,0
nystactes,1,1
nystalus,4,0
oceanites,1,2
ochetorhynchus,4,0
ochthoeca,9,1
ochthornis,1,0
ocreatus,1,0
ocyceros,2,1
ocyphaps,1,0
odontophorus,10,5
odontorchilus,1,1
odontospiza,1,0
oedistoma,2,0
oena,1,0
oenanthe,27,1
oncostoma,2,0
oneillornis,2,0
onychognathus,11,0
onychoprion,3,1
onychorhynchus,2,2
onychostruthus,1,0
ophrysia,0,1
opisthocomus,1,0
opisthoprora,1,0
oporornis,1,0
orchesticus,0,1
oreocharis,1,0
oreocossypha,1,0
oreoica,1,0
oreolais,2,0
oreomystis,0,1
oreonympha,2,0
oreophasis,0,1
oreophilais,1,0
oreopholus,1,0
oreopsar,1,0
oreopsittacus,1,0
oreornis,1,0
oreortyx,1,0
oreoscoptes,1,0
oreoscopus,1,0
oreostruthus,1,0
oreothlypis,2,0
oreothraupis,1,0
oreotrochilus,6,1
origma,1,0
oriolia,0,1
oriolus,25,6
oriturus,1,0
ornithion,3,0
ornorectes,1,0
oroanassa,0,1
orochelidon,3,0
ortalis,14,1
orthogonys,1,0
orthonyx,3,0
orthopsittaca,1,0
orthorhyncus,1,0
orthotomus,11,2
ortygospiza,1,0
ortyxelos,1,0
otidiphaps,2,2
otis,0,1
otocichla,1,0
otus,24,30
oxylabes,1,0
oxypogon,2,2
oxyruncus,1,0
oxyura,3,3
pachycare,1,0
pachycephala,39,3
pachycephalopsis,2,0
pachycoccyx,1,0
pachyptila,6,1
pachyramphus,18,1
pachysylvia,6,0
pagodroma,1,0
pagophila,0,1
palaeornis,1,1
palmeria,0,1
paludipasser,1,0
pandion,1,0
panterpe,1,0
panurus,1,0
panyptila,2,0
papasula,0,1
parabuteo,2,0
paraclaravis,1,1
paradigalla,1,1
paradisaea,3,3
paradisornis,0,1
paradoxornis,7,3
paragallinula,1,0
paramythia,2,0
parayuhina,1,0
pardaliparus,2,1
pardalotus,3,1
pardirallus,3,0
pareudiastes,0,2
parkerthraustes,1,0
parkesia,2,0
parmoptila,2,1
paroaria,6,0
paroreomyza,1,2
parotia,4,1
parus,2,0
passer,26,2
passerculus,5,1
passerella,5,0
passerina,6,1
pastor,1,0
patagioenas,15,4
patagona,1,0
pauxi,0,3
pavo,1,1
pedionomus,0,1
pelagodroma,1,0
pelargopsis,2,1
pelecanoides,3,2
pelecanus,5,3
peliperdix,4,0
pellorneum,10,4
peltohyas,1,0
peltops,2,0
penelope,6,9
penelopides,2,2
penelopina,0,1
peneoenanthe,1,0
peneothello,4,0
percnostola,1,1
perdicula,3,1
perdix,3,0
pericrocotus,13,2
periparus,3,0
perisoreus,2,1
perissocephalus,1,0
pernis,4,0
petrochelidon,9,1
petroica,9,4
petronia,1,0
petrophassa,2,0
peucaea,6,2
peucedramus,1,0
pezopetes,1,0
pezophaps,1,0
pezoporus,1,1
phacellodomus,9,1
phaenicophaeus,4,3
phaenicophilus,1,1
phaenostictus,1,0
phaeomyias,2,0
phaethon,3,0
phaethornis,28,2
phaetusa,1,0
phainopepla,1,0
phainoptila,1,0
phalacrocorax,7,4
phalaenoptilus,1,0
phalaropus,2,0
phalcoboenus,4,1
phapitreron,4,4
phaps,3,0
pharomachrus,4,1
phasianus,2,0
phedina,1,0
phedinopsis,1,0
phegornis,0,1
phelpsia,1,0
pheucticus,6,0
pheugopedius,15,0
phibalura,0,2
phigys,1,0
philemon,14,2
philentoma,1,1
philepitta,1,1
philesturnus,0,2
philetairus,1,0
philohydor,1,0
philortyx,1,0
philydor,7,0
phimosus,1,0
phlegopsis,3,0
phleocryptes,1,0
phlogophilus,0,2
phodilus,2,1
phoebastria,0,4
phoebetria,0,2
phoenicircus,2,0
phoeniconaias,0,1
phoenicoparrus,0,2
phoenicopterus,2,1
phoeniculus,4,0
phoenicurus,12,2
pholia,1,0
pholidornis,1,0
phonipara,1,0
phonygammus,1,0
phragmacia,1,0
phrygilus,4,0
phylidonyris,3,0
phyllaemulor,1,0
phyllanthus,1,2
phyllastrephus,15,3
phyllergates,2,0
phyllolais,1,0
phyllomyias,11,3
phylloscartes,9,7
phylloscopus,71,7
phytotoma,2,1
piaya,3,0
pica,3,2
picathartes,0,2
picoides,9,1
piculus,6,1
picumnus,22,5
picus,13,2
piezorina,1,0
pilherodius,1,0
pinarochroa,1,0
pinarocorys,2,0
pinaroloxias,1,0
pinarornis,1,0
pinguinus,1,0
pinicola,1,0
pionites,2,2
pionopsitta,1,0
pionus,8,1
pipile,1,4
pipilo,5,1
pipra,3,0
pipraeidea,3,0
pipreola,11,1
piprites,2,1
piranga,10,0
pitangus,1,0
pithecophaga,0,1
pithys,1,1
pitohui,4,0
pitta,10,7
pittasoma,1,1
pityriasis,0,1
platalea,5,1
platycercus,6,0
platylophus,0,1
platyrinchus,7,1
platysmurus,2,0
platyspiza,1,0
platysteira,2,2
plectorhyncha,1,0
plectrophenax,2,0
plectropterus,1,0
plegadis,3,0
plesiodryas,1,0
plocepasser,4,0
ploceus,52,14
pluvialis,4,0
pluvianellus,0,1
pluvianus,1,0
pnoepyga,4,0
podargus,3,0
podica,1,0
podiceps,6,4
podilymbus,2,0
podoces,3,1
poecile,15,0
poecilodryas,4,0
poecilotriccus,11,1
poeoptera,3,1
poephila,3,0
pogoniulus,9,1
pogonocichla,1,0
pogonornis,6,0
pogonotriccus,4,3
poicephalus,8,1
poikilocarbo,0,1
polemaetus,0,1
polihierax,1,0
poliocephalus,1,1
poliocrania,2,0
poliolais,1,0
poliolophus,1,0
polioptila,11,1
polioxolmis,1,0
polyboroides,2,0
polyonymus,1,0
polyplectron,2,6
polysticta,0,1
polystictus,1,1
polytelis,2,1
polytmus,3,0
pomarea,3,5
pomatorhinus,10,0
pomatostomus,4,0
poodytes,4,2
pooecetes,1,0
poospiza,6,4
poospizopsis,2,0
porphyrio,9,1
porphyriops,1,0
porphyrolaema,1,0
porphyrospiza,0,1
porzana,5,0
premnoplex,1,2
premnornis,1,0
primolius,1,2
prinia,24,2
prioniturus,3,7
prionochilus,5,1
prionodura,1,0
prionops,5,3
priotelus,1,0
probosciger,1,0
procarduelis,1,0
procellaria,0,5
procnias,2,2
prodotiscus,3,0
progne,6,3
promerops,1,1
prosobonia,3,1
prosopeia,1,2
prosthemadera,1,0
protonotaria,1,0
prunella,12,0
psalidoprocne,5,0
psaltria,1,0
psaltriparus,1,0
psarisomus,1,0
psarocolius,10,1
pselliophorus,1,1
psephotellus,3,1
psephotus,1,0
pseudasthenes,4,0
pseudastur,1,2
pseudelaenia,1,0
pseudeos,1,0
pseudhirundo,1,0
pseudibis,1,1
pseudobias,1,0
pseudobulweria,0,4
pseudocalyptomena,0,1
pseudochelidon,0,1
pseudocolaptes,3,0
pseudocolopteryx,4,1
pseudoleistes,2,0
pseudonestor,0,1
pseudonigrita,2,0
pseudopipra,1,0
pseudopodoces,1,0
pseudorectes,1,1
pseudosaltator,1,0
pseudoscops,1,0
pseudoseisura,4,0
pseudospingus,2,0
pseudotriccus,3,0
psilopogon,29,4
psilopsiagon,2,0
psilorhamphus,0,1
psiloscops,1,0
psittacara,7,5
psittacella,5,0
psittacula,0,3
psittaculirostris,5,0
psittacus,0,2
psitteuteles,2,0
psittinus,0,2
psittirostra,0,1
psittrichas,0,1
psophia,2,4
psophocichla,2,0
psophodes,4,0
pteridophora,1,0
pternistis,19,5
pterocles,14,0
pterodroma,10,25
pteroglossus,0,1
pteronetta,1,0
pterophanes,1,0
pteroptochos,3,0
pterorhinus,18,6
pteruthius,6,0
ptilinopus,33,12
ptiliogonys,2,0
ptilocichla,1,2
ptilonorhynchus,1,0
ptilopachus,1,1
ptiloprora,6,0
ptilopsis,2,0
ptilorrhoa,4,0
ptilostomus,1,0
ptilotula,6,0
ptiloxena,1,0
ptychoramphus,0,1
ptyonoprogne,5,0
pucrasia,1,0
puffinus,9,10
pulsatrix,3,0
purnella,1,0
purpureicephalus,1,0
pycnonotus,24,7
pycnoptilus,1,0
pycnopygius,3,0
pygarrhichas,1,0
pygiptila,1,0
pygochelidon,2,0
pygoscelis,3,0
pyrenestes,3,0
pyrgilauda,4,0
pyriglena,2,1
pyrilia,2,5
pyrocephalus,2,1
pyroderus,1,0
pyrrhocorax,2,0
pyrrholaemus,2,0
pyrrhomyias,1,0
pyrrhoplectes,1,0
pyrrhula,6,2
pyrrhulagra,2,2
pyrrhura,15,17
pyrrhurus,1,0
pyrroglaux,1,0
pytilia,5,0
quelea,3,0
querula,1,0
quiscalus,6,1
quoyornis,1,0
radjah,1,0
rallicula,3,1
rallina,4,0
rallus,6,7
ramphastos,5,6
ramphiculus,4,6
ramphocaenus,1,0
ramphocelus,10,0
ramphocinclus,0,1
ramphocoris,1,0
ramphodon,1,0
ramphomicron,1,1
ramphotrigon,3,0
ramsayornis,2,0
randia,1,0
raphus,1,0
recurvirostra,4,0
regulus,6,0
reinwardtoena,1,2
remiz,3,0
rhabdornis,3,1
rhabdotorrhinus,0,4
rhagologus,1,0
rhamphocharis,2,0
rhamphococcyx,1,0
rhaphidura,2,0
rhea,1,2
rhegmatorhina,4,1
rheinardia,0,2
rhinocrypta,1,0
rhinoplax,0,1
rhinopomastus,4,0
rhinoptilus,2,1
rhinortha,1,0
rhipidura,52,10
rhizothera,0,2
rhodacanthis,2,0
rhodinocichla,1,0
rhodonessa,0,1
rhodopechys,2,0
rhodophoneus,1,0
rhodopis,1,0
rhodospingus,1,0
rhodospiza,1,0
rhodostethia,1,0
rhopias,1,0
rhopophilus,2,0
rhopornis,0,1
rhopospina,1,0
rhynchocyclus,5,0
rhynchophanes,1,0
rhynchopsitta,0,2
rhynchortyx,1,0
rhynchospiza,2,0
rhynchostruthus,1,2
rhynchotus,2,0
rhynochetos,0,1
rhyticeros,1,5
rhytipterna,3,0
ridgwayia,1,0
rigidipenna,0,1
riparia,6,0
rissa,0,2
robsonius,1,2
rollandia,1,1
rollulus,0,1
roraimia,1,0
rostratula,1,1
rostrhamus,1,0
rougetius,0,1
rowettia,0,1
rubigula,4,1
rufirallus,2,0
rukia,0,2
rupicola,2,0
rupornis,1,0
rynchops,2,1
sagittarius,0,1
sakesphorus,4,0
salpinctes,1,0
salpornis,2,0
saltator,18,0
salvadorina,1,0
sapayoa,1,0
sappho,1,0
sarcogyps,0,1
sarcophanops,0,2
sarcops,1,0
sarcoramphus,1,0
sarkidiornis,2,0
saroglossa,1,0
sarothrura,7,2
sasia,2,0
satrapa,1,0
saundersilarus,0,1
saxicola,8,3
saxicoloides,1,0
sayornis,3,0
sceloglaux,1,0
scelorchilus,2,0
scenopoeetes,1,0
scepomycter,0,1
schetba,1,0
schiffornis,7,0
schistes,2,0
schistochlamys,2,0
schistolais,1,1
schoenicola,0,2
schoeniophylax,1,0
schoeniparus,6,1
schoutedenapus,1,0
sciaphylax,2,0
scissirostrum,1,0
sclateria,1,0
scleroptila,6,3
sclerurus,5,2
scolopax,4,4
scopus,1,0
scotocerca,1,0
scotopelia,2,1
scytalopus,32,11
scythrops,1,0
seiurus,1,0
selasphorus,5,2
selenidera,7,0
seleucidis,1,0
semioptera,1,0
semnornis,1,1
sephanoides,1,1
sericornis,12,0
sericossypha,0,1
sericulus,3,1
serilophus,2,0
serinus,7,1
serpophaga,5,0
setopagis,3,1
setophaga,27,9
setornis,0,1
sheppardia,6,5
sholicola,0,1
sialia,3,0
sibia,4,0
sibirionetta,1,0
sicalis,13,0
silvicultrix,4,0
siphonorhis,0,2
sipia,3,1
sipodotus,1,0
siptornis,1,0
sirystes,4,0
sitta,21,8
sittasomus,2,0
sittiparus,3,2
siva,1,0
smicrornis,1,0
smithornis,3,0
smutsornis,1,0
snowornis,2,0
somateria,1,2
spartonoica,0,1
spatula,9,0
speculanas,0,1
speculipastor,1,0
spelaeornis,3,5
spermestes,3,0
spermophaga,3,0
sphecotheres,3,0
spheniscus,1,3
sphenoeacus,1,0
sphenopsis,4,0
sphyrapicus,4,0
spilopelia,3,0
spiloptila,1,0
spilornis,3,3
spindalis,4,0
spinus,18,2
spiza,1,0
spizaetus,2,2
spizella,5,1
spiziapteryx,1,0
spizixos,2,0
spizocorys,4,3
spodiopsar,2,0
spodiornis,1,0
sporathraupis,1,0
sporophila,32,11
sporopipes,2,0
stachyris,5,8
stactolaema,4,0
stagonopleura,3,0
staphida,3,0
starnoenas,0,1
steatornis,1,0
steganopus,1,0
stelgidillas,1,0
stelgidopteryx,3,0
stenostira,1,0
stephanoaetus,0,1
stephanophorus,1,0
stephanoxis,2,0
stercorarius,3,0
sterna,9,4
sternoclyta,1,0
sternula,5,2
sterrhoptilus,2,1
stictonetta,1,0
stigmatura,3,0
stiltia,1,0
stiphrornis,2,1
stipiturus,2,1
stizorhina,2,0
stomiopera,2,0
strepera,3,0
streptocitta,2,1
streptopelia,12,3
streptoprocne,5,0
stresemannia,1,0
strigops,0,1
strix,13,3
struthidea,1,0
struthio,1,1
sturnella,1,1
sturnia,4,0
sturnornis,0,1
sturnus,2,0
sublegatus,3,0
sugomel,1,0
suiriri,1,0
sula,6,0
surnia,1,0
surniculus,4,0
suthora,10,2
swynnertonia,0,1
sylvia,6,1
sylvietta,9,2
sylviorthorhynchus,1,1
sylviparus,1,0
syma,2,0
symposiachrus,9,12
synallaxis,24,13
syndactyla,6,2
synoicus,3,0
synthliboramphus,1,4
sypheotides,0,1
syrigma,1,0
syrmaticus,0,5
syrrhaptes,2,0
systellura,3,0
taccocua,1,0
tachornis,3,0
tachuris,1,0
tachybaptus,4,1
tachycineta,7,2
tachyeres,3,1
tachymarptis,2,0
tachyphonus,3,0
tadorna,5,1
taeniopygia,3,0
taeniotriccus,1,0
talegalla,3,0
tangara,57,8
tanygnathus,2,3
tanysiptera,5,4
taoniscus,0,1
tapera,1,0
taphrolesbia,0,1
taphrospilus,1,0
taraba,1,0
tarphonomus,2,0
tarsiger,6,0
tauraco,10,3
tchagra,4,0
telacanthura,2,0
teledromas,1,0
telespiza,0,2
telophorus,3,0
temnotrogon,1,0
temnurus,1,0
tephrodornis,4,0
tephrophilus,0,1
tephrozosterops,1,0
terathopius,0,1
terenotriccus,1,0
terenura,1,1
teretistris,2,0
terpsiphone,14,3
tersina,1,0
tesia,4,0
tetrao,2,0
tetraogallus,5,0
tetraophasis,2,0
tetrax,0,1
thalassarche,1,9
thalasseus,4,2
thalassoica,1,0
thalassornis,1,0
thalurania,3,2
thamnistes,2,0
thamnolaea,1,0
thamnomanes,4,0
thamnophilus,27,5
thamnornis,1,0
thaumastura,1,0
thaumatibis,0,1
theristicus,3,1
thescelocichla,1,0
thinocorus,2,0
thinornis,0,2
thlypopsis,8,0
threnetes,3,0
threskiornis,4,2
thripadectes,7,0
thripophaga,2,3
thryomanes,1,0
thryophilus,3,2
thryorchilus,1,0
thryothorus,2,0
tiaris,1,0
tichodroma,1,0
tickellia,1,0
tigriornis,1,0
tigrisoma,3,0
tilmatura,1,0
timalia,1,0
timeliopsis,2,0
tinamotis,2,0
tinamus,1,4
tityra,4,1
tmetothylacus,1,0
tockus,7,0
todiramphus,9,16
todirostrum,7,0
todus,5,0
tolmomyias,7,0
topaza,2,0
torgos,0,1
torreornis,0,1
touit,3,5
toxorhamphus,2,0
toxostoma,8,2
trachylaemus,3,0
trachyphonus,6,0
tragopan,1,4
traversia,1,0
tregellasia,2,0
treron,18,13
tribonyx,3,0
trichixos,0,1
trichodere,1,0
trichoglossus,9,6
tricholaema,6,0
tricholestes,1,0
trichothraupis,1,0
triclaria,0,1
trigonoceps,0,1
tringa,11,2
trochalopteron,17,2
trochilus,2,0
trochocercus,3,0
troglodytes,10,3
trogon,19,1
tropicoperdix,2,2
trugon,1,0
tunchiornis,2,0
turacoena,2,1
turdinus,1,2
turdoides,13,1
turdus,75,12
turnagra,2,0
turnix,11,6
turtur,5,0
tychaedon,5,0
tylas,1,0
tympanuchus,1,2
tyranneutes,2,0
tyrannopsis,1,0
tyrannulus,1,0
tyrannus,12,1
tyto,8,5
upucerthia,4,0
upupa,3,0
uraeginthus,3,0
uratelornis,0,1
uria,2,0
urile,4,0
urochroa,2,0
urocissa,3,3
urocolius,2,0
urocynchramus,1,0
urodynamis,1,0
uroglaux,1,0
urolais,1,0
uromyias,2,0
uropelia,1,0
uropsalis,2,0
uropsila,1,0
urosphena,3,0
urosticte,2,0
urothraupis,1,0
urotriorchis,1,0
vanellus,20,4
vanga,1,0
vauriella,1,3
veles,1,0
veniliornis,13,1
vermivora,1,2
verreauxia,1,0
vidua,19,0
vini,1,4
vireo,26,6
vireolanius,5,0
viridonia,1,0
volatinia,1,0
vosea,0,1
vultur,0,1
wetmorethraupis,0,1
willisornis,3,0
xanthocephalus,1,0
xanthomixis,1,2
xanthopsar,0,1
xanthotis,3,0
xema,1,0
xenerpestes,1,1
xenicus,1,1
xenocopsychus,1,0
xenodacnis,2,0
xenoglaux,0,1
xenoligea,0,1
xenoperdix,0,1
xenopipo,2,0
xenopirostris,1,2
xenops,4,0
xenopsaris,1,0
xenornis,0,1
xenospingus,0,1
xenospiza,0,1
xenotriccus,2,0
xenus,1,0
xiphidiopicus,1,0
xiphocolaptes,3,1
xipholena,1,2
xiphorhynchus,16,1
xolmis,6,2
yuhina,7,0
zanclostomus,1,0
zanda,1,2
zapornia,12,3
zaratornis,0,1
zavattariornis,0,1
zebrilus,0,1
zeledonia,1,0
zenaida,5,2
zentrygon,6,2
zimmerius,10,3
zonerodius,0,1
zonotrichia,4,1
zoonavena,3,0
zoothera,13,7
zosterops,69,31
zosterornis,1,4
