genus,lc_count,vu_count
caridonax,1,0
carpococcyx,0,3
carpodacus,24,1
carpodectes,2,1
carpornis,0,2
carpospiza,1,0
carterornis,4,0
caryothraustes,4,0
casiornis,2,0
cassiculus,1,0
castanozoster,1,0
casuarius,3,0
catamblyrhynchus,1,0
catamenia,3,0
cataponera,1,0
catharacta,4,0
catharopeza,0,1
cathartes,3,0
catharus,13,1
catherpes,1,0
catreus,0,1
catriscus,1,0
ceblepyris,4,1
cecropis,6,0
celebesica,1,0
celeus,10,4
centrocercus,0,2
centropus,22,6
cephalopterus,1,2
cephalopyrus,1,0
cepphus,3,0
ceratogymna,1,1
ceratopipra,5,0
cercibis,1,0
cercococcyx,3,1
cercomacra,4,3
cercomacroides,6,0
cercotrichas,5,0
cereopsis,1,0
cerorhinca,1,0
certhia,9,0
certhiasomus,1,0
certhiaxis,2,0
certhidea,1,1
certhilauda,4,0
certhionyx,1,0
ceryle,1,0
cettia,4,0
ceuthmochares,2,0
ceyx,14,10
chaetocercus,4,2
chaetops,0,2
chaetoptila,1,0
chaetorhynchus,1,0
chaetura,9,2
chalcites,8,0
chalcomitra,7,0
chalcoparia,1,0
chalcophaps,3,0
chalcopsitta,4,0
chalcostigma,5,0
chalybura,2,0
chamaea,1,0
chamaepetes,2,0
chamaetylas,3,1
chamaeza,6,0
charadrius,23,10
charitospiza,0,1
charmosyna,8,7
chasiempis,0,3
chauna,1,1
chelictinia,0,1
chelidoptera,1,0
chelidorhynx,1,0
chenonetta,2,0
chenorhamphus,1,0
cheramoeca,1,0
chersomanes,1,0
chersophilus,0,1
chionis,2,0
chionodacryon,1,0
chiroxiphia,5,0
chlamydera,5,0
chlamydochaera,1,0
chlamydotis,0,2
chlidonias,3,1
chloebia,0,1
chloephaga,5,0
chloridops,1,0
chloris,5,0
chloroceryle,4,0
chlorochrysa,3,1
chlorocichla,4,1
chlorodrepanis,1,2
chlorophanes,1,0
chlorophoneus,5,1
chlorophonia,5,0
chloropicoides,0,1
chloropipo,1,1
chloropsis,7,6
chlorornis,1,0
chlorospingus,9,0
chlorostilbon,17,0
chondestes,1,0
chondrohierax,1,1
chordeiles,6,0
chrysococcyx,6,0
chrysocolaptes,6,3
chrysocorypha,1,0
chrysocorythus,1,1
chrysoena,2,1
chrysolampis,1,0
chrysolophus,2,0
chrysominla,1,0
chrysomma,1,1
chrysomus,2,0
chrysophlegma,2,2
chrysothlypis,2,0
chunga,1,0
ciccaba,4,0
cichladusa,3,0
cichlocolaptes,3,0
cichlopsis,0,4
cicinnurus,2,1
ciconia,5,3
cinclidium,1,0
cinclocerthia,2,0
cinclodes,11,5
cincloramphus,5,0
cinclosoma,7,0
cinclus,4,1
cinnycerthia,4,0
cinnyricinclus,1,0
cinnyris,51,7
circaetus,4,2
circus,12,4
ciridops,1,0
cissa,3,1
cissomela,1,0
cissopis,1,0
cisticola,46,4
cistothorus,4,1
cittura,1,1
cladorhynchus,1,0
clamator,4,0
clanga,1,2
clangula,0,1
claravis,1,0
cleptornis,0,1
clibanornis,2,3
climacteris,5,0
clytoceyx,1,0
clytoctantes,0,2
clytolaema,1,0
clytomyias,1,0
clytorhynchus,2,3
clytospiza,1,0
cnemarchus,1,0
cnemathraupis,1,1
cnemophilus,3,0
cnemoscopus,2,0
cnemotriccus,1,0
cnipodectes,1,1
coccopygia,3,0
coccothraustes,1,0
coccycua,3,0
coccyzus,11,3
cochlearius,1,0
cochoa,2,2
coeligena,15,4
coenocorypha,2,3
coereba,1,0
colaptes,19,1
colibri,4,0
colinus,3,1
colius,4,0
collocalia,3,0
colluricincla,5,0
colonia,1,0
colorhamphus,1,0
columba,21,14
columbina,8,1
compsothraupis,1,0
conioptilon,1,0
conirostrum,9,3
conopias,3,1
conopophaga,9,1
conopophila,3,0
conothraupis,0,2
contopus,15,1
conuropsis,1,0
copsychus,4,1
coracias,9,0
coracina,20,3
coracopsis,2,2
coracornis,1,1
coragyps,1,0
corapipo,2,0
corcorax,1,0
cormobates,2,0
corvus,35,9
corydon,1,0
corydospiza,2,0
coryphaspiza,0,1
coryphistera,1,0
coryphospingus,2,0
corythaeola,1,0
corythaixoides,3,0
corythopis,2,0
corythornis,6,0
coscoroba,1,0
cossypha,7,0
cossyphicula,1,0
cotinga,5,2
coturnicops,2,1
coturnix,5,1
coua,12,0
cracticus,5,1
cranioleuca,18,4
crateroscelis,3,0
crax,1,7
creagrus,1,0
creatophora,1,0
creurgops,2,0
crex,2,0
crinifer,2,0
criniferoides,1,0
criniger,4,1
crithagra,32,5
crossleyia,1,1
crossoptilon,1,3
crotophaga,3,0
crypsirina,1,1
cryptillas,1,0
cryptoleucopteryx,0,1
cryptolybia,1,0
cryptomicroeca,1,0
cryptophaps,1,0
cryptopipo,2,0
cryptospiza,3,1
cryptosylvicola,1,0
crypturellus,19,3
cuculus,11,0
culicicapa,2,0
culicivora,0,1
curaeus,1,0
curruca,21,2
cursorius,5,0
cutia,1,1
cyanecula,1,0
cyanerpes,4,0
cyanicterus,1,0
cyanistes,3,0
cyanochen,0,1
cyanocitta,2,0
cyanocompsa,1,0
cyanocorax,17,3
cyanoderma,7,0
cyanograucalus,1,0
cyanolanius,1,1
cyanolimnas,0,1
cyanoliseus,1,0
cyanoloxia,4,0
cyanolyca,6,4
cyanomitra,7,0
cyanophaia,1,0
cyanopica,2,0
cyanopsitta,0,1
cyanoptila,1,1
cyanoramphus,3,4
cyclarhis,2,0
cyclopsitta,5,1
cygnus,6,0
cymbilaimus,2,0
cymbirhynchus,2,0
cynanthus,3,1
cyornis,20,11
cyphorhinus,4,0
cyphos,1,0
cypseloides,4,4
cypsiurus,3,0
cypsnagra,1,0
cyrtonyx,1,2
dacelo,4,0
dacnis,7,3
dactylortyx,1,0
daphoenositta,3,0
daption,1,0
daptrius,1,0
dasycrotapha,0,3
dasylophus,1,0
dasyornis,1,2
deconychura,2,1
deleornis,2,0
delichon,4,0
deltarhynchus,1,0
dendragapus,2,0
